O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),task_norm,occupation_norm,task_importance_weight,skill_list,skill_id_list,worker_rater_count,worker_desire_score,worker_time_score,core_skill_score,job_security_score,enjoyment_score,worker_physical_requirement,worker_interpersonal_requirement,worker_uncertainty_requirement,worker_domain_expertise_requirement,worker_human_agency_score,automation_desire_free_time_share,automation_desire_repetitive_share,automation_desire_human_error_share,automation_desire_stress_share,automation_desire_difficulty_share,automation_desire_scale_share,human_agency_physical_share,human_agency_control_share,human_agency_domain_knowledge_share,human_agency_empathy_share,human_agency_quality_oversight_share,human_agency_dynamic_share,human_agency_ethical_share,expert_rater_count,ai_capability_score,expert_physical_requirement,expert_uncertainty_requirement,expert_domain_expertise_requirement,expert_interpersonal_requirement,expert_human_agency_score,dwa_count,dwa_titles,anthropic_usage_pct,paper_count,recent_paper_count,company_count,recent_company_count,sector,human_agency_score,physical_requirement,uncertainty_requirement,domain_expertise_requirement,interpersonal_requirement,paper_count_log,company_count_log,recent_paper_count_log,recent_company_count_log,automation_reason_intensity,human_agency_reason_intensity,automation_exposure_index,worker_pull_index,human_complementarity_index,innovation_momentum_index,has_worker_signal,has_expert_signal,has_usage_signal,has_paper_signal,has_company_signal,paired_worker_expert_signal,signal_count,skill_shift_pressure,capability_desire_gap,desire_capability_gap,transition_type,mismatch_type
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,07/2017,5.0,5.0,4.06,66.15,126030.0,254140.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"plan, administer, and control budgets for contracts, equipment, and supplies",administrative services managers,25.070000000000004,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Prepare operational budgets.,0.0020846633920079,18.0,12.0,83.0,28.0,Management,,,,,,2.9444389791664403,4.430816798843313,2.5649493574615367,3.367295829986474,,,0.29539443992752296,,,0.39910839981229473,False,False,True,True,True,False,3,,,,Insufficient signal,Missing worker/expert pair
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,07/2016,3.0,3.0,4.08,99.97,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],review project plans to plan and coordinate project activity,computer and information systems managers,35.68333333333333,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],10.0,3.2,2.2,2.6,2.0,2.5,2.1,3.3,2.7,3.4,3.0,0.4,0.3,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.5,3.5,4.0,4.0,1.0,"Manage operations, research, or logistics projects.",0.0179802217560683,349.0,255.0,509.0,186.0,Management,3.5,1.55,2.6,3.45,3.65,5.857933154483459,6.234410725718371,5.545177444479562,5.231108616854587,0.2833333333333333,0.0,0.6729063918183251,0.5479857819905214,0.6132519355091705,0.9704364148287189,True,True,True,True,True,True,5,0.7282383847186857,-1.2000000000000002,1.2000000000000002,AI-augmented human premium,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,07/2016,5.0,5.0,4.04,92.97,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],"assign and review the work of systems analysts, programmers, and other computer-related workers",computer and information systems managers,34.00333333333333,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],10.0,3.5,2.6,3.7,2.0,3.3,2.1,2.9,2.7,3.0,2.4,0.5,0.2,0.1,0.2,0.2,0.4,0.0,0.1,0.0,0.1,0.0,0.1,0.0,2.0,2.0,1.5,2.0,2.5,2.5,3.5,1.0,Evaluate employee performance.,,509.0,379.0,509.0,186.0,Management,2.95,1.8,2.35,2.75,2.7,6.234410725718371,6.234410725718371,5.940171252720432,5.231108616854587,0.26666666666666666,0.042857142857142864,0.6763097677387243,0.45008886255924174,0.3935413935666028,0.9855701548568747,True,True,False,True,True,True,4,1.137298376899021,-1.5,1.5,Automation candidate,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,07/2016,3.0,3.0,3.94,81.61,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2'],"develop computer information resources, providing for data security and control, strategic computing, and disaster recovery",computer and information systems managers,29.516666666666666,['Thinking Creatively'],['4.A.2.b.2'],10.0,3.6,2.9,3.3,2.4,3.1,2.2,3.1,3.1,3.7,2.8,0.6,0.2,0.5,0.2,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,2.0,3.0,1.5,2.5,3.5,1.5,2.5,1.0,Develop computer or information systems.,0.0028664121640108,613.0,457.0,509.0,186.0,Management,2.65,1.85,2.8,3.6,2.3,6.419994928147142,6.234410725718371,6.126869184114185,5.231108616854587,0.3333333333333333,0.042857142857142864,0.6191330633493937,0.6066350710900474,0.4733286276091559,0.99061473486626,True,True,True,True,True,True,5,1.4772279536920598,-0.6000000000000001,0.6000000000000001,Worker-pulled automation,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,07/2016,4.0,4.0,3.88,100.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],stay abreast of advances in technology,computer and information systems managers,35.96,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],10.0,3.3,1.7,2.8,1.7,2.9,1.6,1.9,2.5,2.8,2.3,0.4,0.3,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.0,1.0,4.0,1.0,3.5,1.0,Maintain knowledge of current developments in area of expertise.,,320.0,237.0,509.0,186.0,Management,2.9,1.3,1.75,3.4,1.45,5.771441123130016,6.234410725718371,5.472270673671475,5.231108616854587,0.21666666666666665,0.0,0.7022062399070497,0.4029917061611375,0.2763725028850571,0.9677381511027687,True,True,False,True,True,True,4,1.5081059259263796,-0.7999999999999998,0.7999999999999998,Automation candidate,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,07/2016,3.0,3.0,3.68,87.19,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']",review and approve all systems charts and programs prior to their implementation,computer and information systems managers,31.290000000000003,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']",10.0,2.7,2.8,3.9,2.6,3.5,2.8,3.4,3.2,3.5,2.8,0.3,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,2.0,2.5,2.0,2.0,2.5,1.5,3.0,2.0,Evaluate project designs to determine adequacy or feasibility. | Review technical documents to plan work.,,679.0,506.0,509.0,186.0,Management,2.9,2.4,2.6,3.0,2.45,6.522092798170152,6.234410725718371,6.2285110035911835,5.231108616854587,0.15,0.028571428571428574,0.7195689804044688,0.31486966824644547,0.41658067515937836,0.9954246832473017,True,True,False,True,True,True,4,0.38898977005750035,-0.20000000000000018,0.20000000000000018,Automation candidate,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,07/2016,5.0,5.0,3.63,95.71,187990.0,645970.0,['Documenting/Recording Information'],['4.A.3.b.6'],prepare and review operational reports or project progress reports,computer and information systems managers,34.779999999999994,['Documenting/Recording Information'],['4.A.3.b.6'],11.0,3.1818181818181817,2.3636363636363638,2.909090909090909,2.3636363636363638,3.090909090909091,2.1818181818181817,2.8181818181818183,2.5454545454545454,2.727272727272727,2.5454545454545454,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.36363636363636365,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,2.0,3.5,1.0,2.5,3.0,2.5,2.5,1.0,Prepare operational progress or status reports.,0.0076871962580292,356.0,263.0,509.0,186.0,Management,2.5227272727272725,1.5909090909090908,2.5227272727272725,2.8636363636363633,2.659090909090909,5.877735781779639,6.234410725718371,5.575949103146316,5.231108616854587,0.21212121212121213,0.03896103896103896,0.7333920543281847,0.45379146919431285,0.3730882995529562,0.9729000469263256,True,True,True,True,True,True,5,1.5401228828594475,0.31818181818181834,-0.31818181818181834,Automation candidate,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,07/2016,3.0,3.0,3.59,70.83,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],evaluate data processing proposals to assess project feasibility and requirements,computer and information systems managers,25.80666666666667,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],10.0,3.6,2.9,3.6,2.1,3.2,2.9,3.4,2.9,3.6,3.0,0.5,0.1,0.3,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,2.0,3.5,1.5,2.5,1.0,Analyze data to determine project feasibility.,,682.0,505.0,509.0,186.0,Management,2.75,2.2,2.45,3.55,2.45,6.52649485957079,6.234410725718371,6.226536669287466,5.231108616854587,0.26666666666666666,0.0,0.6821755584473118,0.4909656398104265,0.4344103279441587,0.9950727358047865,True,True,False,True,True,True,4,1.2374885874584332,-1.6,1.6,Automation candidate,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,07/2016,3.0,3.0,3.53,84.33,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],control operational budget and expenditures,computer and information systems managers,30.286666666666665,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],10.0,3.7,2.8,3.5,2.5,3.7,2.2,3.3,4.1,3.7,3.4,0.6,0.1,0.6,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.5,2.5,1.5,3.0,1.0,Manage organizational or project budgets.,,494.0,378.0,509.0,186.0,Management,3.2,2.1,3.3,3.1,2.4,6.20455776256869,6.234410725718371,5.937536205082426,5.231108616854587,0.31666666666666665,0.0,0.6753712412253504,0.5478376777251185,0.5208169473295015,0.9852182074143594,True,True,False,True,True,True,4,1.1659037270395938,-1.7000000000000002,1.7000000000000002,Automation candidate,Moderate or mixed
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Supplemental,07/2016,5.0,5.0,4.19,65.58,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2'],"manage backup, security and user help systems",computer and information systems managers,24.923333333333332,['Thinking Creatively'],['4.A.2.b.2'],10.0,3.0,2.9,3.6,2.6,3.4,2.4,2.8,2.9,2.8,2.8,0.4,0.2,0.3,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,1.0,2.0,3.5,2.0,2.5,1.0,Develop computer or information systems.,,243.0,178.0,509.0,186.0,Management,2.65,1.7,2.45,3.15,2.4,5.497168225293202,6.234410725718371,5.187385805840755,5.231108616854587,0.2166666666666667,0.0,0.810227387446154,0.41646919431279616,0.3722353870458136,0.9556546222430784,True,True,False,True,True,True,4,1.6908519771189392,0.5,-0.5,Automation candidate,Moderate or mixed
11-3031.00,Financial Managers,21319,Oversee the flow of cash or financial instruments.,Core,08/2022,5.0,5.0,4.2,72.26,180470.0,818620.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],oversee the flow of cash or financial instruments,financial managers,27.153333333333336,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],5.0,2.8,2.6,3.8,3.6,3.6,2.6,3.2,2.8,3.4,3.0,0.4,0.2,0.4,0.0,0.2,0.4,0.0,0.4,0.2,0.2,0.6,0.4,0.4,2.0,3.0,1.0,3.5,2.5,1.0,2.5,1.0,Monitor flow of cash or other resources.,0.0050813670180193,16.0,14.0,187.0,72.0,Management,2.75,1.8,3.15,2.95,2.1,2.833213344056216,5.236441962829949,2.70805020110221,4.290459441148391,0.26666666666666666,0.3142857142857142,0.46995254081129256,0.4872630331753555,0.5364858884295206,0.6309244486156734,True,True,True,True,True,True,5,-0.31636024654829986,0.20000000000000018,-0.20000000000000018,Low near-term shift,Moderate or mixed
11-3031.00,Financial Managers,21315,Evaluate data pertaining to costs to plan budgets.,Core,08/2022,3.0,3.0,3.61,70.1,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4'],evaluate data pertaining to costs to plan budgets,financial managers,25.569999999999997,['Analyzing Data or Information'],['4.A.2.a.4'],6.0,2.6666666666666665,2.1666666666666665,3.0,3.1666666666666665,2.6666666666666665,2.0,3.0,3.1666666666666665,3.1666666666666665,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.5,0.16666666666666666,0.8333333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,2.0,4.0,1.0,3.5,2.0,1.5,2.0,1.0,Analyze financial records to improve budgeting or planning.,,28.0,24.0,188.0,72.0,Management,2.583333333333333,1.5,3.333333333333333,2.583333333333333,2.25,3.367295829986474,5.241747015059643,3.2188758248682006,4.290459441148391,0.25,0.40476190476190477,0.6865302955840811,0.5682760663507109,0.5533676739157227,0.7157437822618489,True,True,False,True,True,True,4,1.201192002555927,1.3333333333333335,-1.3333333333333335,Automation candidate,Moderate or mixed
11-3031.00,Financial Managers,21321,Develop or analyze information to assess the current or future financial status of firms.,Supplemental,08/2022,5.0,5.0,4.14,43.38,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4'],develop or analyze information to assess the current or future financial status of firms,financial managers,17.506666666666668,['Analyzing Data or Information'],['4.A.2.a.4'],7.0,2.5714285714285716,2.857142857142857,3.5714285714285716,3.2857142857142856,4.0,2.4285714285714284,3.142857142857143,3.142857142857143,3.7142857142857144,3.142857142857143,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,2.0,4.0,1.0,3.5,3.5,1.5,2.0,1.0,Analyze forecasting data to improve business decisions.,0.0570676603562168,32.0,27.0,189.0,72.0,Management,2.571428571428571,1.7142857142857142,3.321428571428571,3.607142857142857,2.321428571428571,3.4965075614664802,5.247024072160486,3.332204510175204,4.290459441148391,0.14285714285714282,0.3469387755102041,0.7424999268242876,0.3330864928909953,0.6496543533550693,0.7356874706710465,True,True,True,True,True,True,5,-0.4558305978025652,1.4285714285714284,-1.4285714285714284,AI-augmented human premium,Moderate or mixed
11-3031.00,Financial Managers,21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Supplemental,08/2022,5.0,5.0,4.09,47.62,180470.0,818620.0,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']","approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans",financial managers,18.903333333333332,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']",3.0,3.0,1.6666666666666667,3.0,2.6666666666666665,3.0,2.3333333333333335,3.0,4.0,3.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.0,3.0,2.5,5.0,4.0,2.5,3.0,2.0,Approve expenditures. | Direct financial operations.,,29.0,26.0,188.0,73.0,Management,2.666666666666667,2.416666666666667,4.5,3.666666666666667,2.75,3.4011973816621555,5.241747015059643,3.295836866004329,4.30406509320417,0.16666666666666666,0.19047619047619047,0.573100787319464,0.4493483412322275,0.6549015159154314,0.7311121539183483,True,True,False,True,True,True,4,-0.5880659210434072,0.0,0.0,Durable human skill,Moderate or mixed
